lemma,entry,definition,dcc
"bonus","bonus, bona, bonum","good, efficient, expert; morally good, well-behaved, worthy, fine; obliging, accommodating, kind(ly), gracious, good","false"
"brac(c)hium","brāc(c)hium, brac(c)hiī, n."," the forearm, lower arm (from elbow to hand); arm (from shoulder to hand)","false"
"cadaver","cadāver, cadāveris, n.","a dead body, corpse, carcass","false"
"cado","cadō, cadere, cecidī, cāsum","fall, fall over, fall down; descend, sink, set; droop, hang down; be overthrown, fall, be destroyed","false"
"caelum","caelum, coelī, n.","(post-classical form of \textit{caelum}) sky, heavens","false"
"calesco","calēscō, calēscere, ———, ———","grow warm, grow hot; be heated, be hot","false"
"calidus","calidus, calida, calidum","warmed, hot; warm","false"
"callidus","callidus, callida, callidum","practiced, expert, experienced; adroit, skilled; clever, ingenious; cunning, wily","false"
"calor","calor, calōris, m.","warmth, heat; glow; fever","false"
"capax","capax, capācis","wide, large, spacious, roomy, capacious, able to hold a lot","false"
"capesso","capessō, capessere, capessīvī/capessiī, capessītum","take hold of, grasp; snatch, seize hold of; apprehend (with the mind or senses), grasp; enter on, engage in","false"
"captivus","captīvus, captīvī, m.","prisoner (usuall of war), captive","false"
"caput","caput, capitis, n.","head; (transferred to things) top, summit, end; (metonymically) a person or animal","false"
"caro","caro, carnis, m.","(sometimes also \textit{carnis} in nominative singular) flesh, skin; meat","false"
"causa","causa, causae, f.","legal case, trial; case, claim; motive, reason; cause; object, purpose","false"
"caveo","caveō, cavēre, cāvī, cautum","be on one's guard, take care, take precautions; beware, guard against, avoid","false"
"cera","cēra, cērae, f.","wax, beeswax","false"
"cerebellum","cerebellum, cerebellī, n.","brain","false"
"cerno","cernō, cernere, crēvī, crētum","separate, sift; distinguish, see, discern, perceive; decide, determine; look at, examine","false"
"certo","certō","certainly, without doubt, for a fact; firmly, surely, in a manner that can be depended on; \textit{certō scīre} know for certain, know for a fact","false"
"certus","certus, certa, certum","fixed, settled, definite; determined, resolved, certain; a particular, a certain; indisputable, about which there is no doubt","false"
"cesso","cessō (1)","hesitate, be slow, hold back; desist, cease, stop; do nothing, be idle, delay, loiter, be remiss","false"
"ceterus","cēterus, cētera, cēterum","the other, remainder, rest; (pl.) the others, rest, remaining","false"
"c(h)arta","c(h)arta, c(h)artae, f."," a leaf of papyrus, paper; (pl.) pages, writings","false"
"chim(a)era","chim(a)era, chim(a)erae, f.","a mythological monster, part lion, part snake, part goat","false"
"cieo","cieō, ciēre, cīvī, citum","cause to go, move, set in motion, stir up; excite, give rise to; provoke, cause; summon, muster; call on by name, invoke; appeal to, call upon","false"
"circa","circā","(adverb or preposition with the accusative) round about, around; round, in a circle; in the company of, with; near, close to","false"
"circumscribo","circumscrībō, circumscrībere, circumscrīpsī, circumscrīptum","draw a line or circle around; confine within specific limits; restrict; delimit; exclude, rule out; define, outline (in words); exclude, rule out; abridge, write in concise form","false"
"clarus","clārus, clāra, clārum","clear, bright, shining, gleaming; (of sound) loud, sonorous; clear, seeing clearly; dinstinct, unambiguous, clear, plain; well-known, notorious","false"
"coelum","coelum, coelī, n.","(post-classical form of \textit{caelum}) sky, heavens","false"
"cogitatio","cōgitātiō, cōgitātiōnis, f.","the act or process of thinking, reflection, thought; the outcome of thinking, an idea, thought; reflection; preoccupation, consideration","false"
"cogito","cōgitō (1)","think, think about; consider thoroughly, ponder, weigh, reflect upon, deliberate, think through","false"
"cognitio","cognitiō, cognitiōnis, f.","the act of getting to know, acquiring or possession of knowledge; an idea, notion; study, investigation","false"
"cognosco","cognoscō, cognoscere, cognōvī, cognitum","get to know, learn, find out; study, master, acquire knowledge of; (in perfect tenses) know (i.e. having learned, one knows)","false"
"cogo","cōgō, cōgere, coēgī, coāctum","drive together, bring together; assemble, muster; collect, summon, convene, gather; compel, force, constrain","false"
"cohibeo","cohibeō (2)","hold together, secure; keep secret, contain; restrain, hold back, check, stop, prevent; control, suppress; withold","false"
"collabor","collābor, collābī, collāpsus sum","slip, fall down, collapse; give way, fail; collapse, end suddenly, be lost","false"
"colligo","colligō, colligere, collēgī, collectum","gather together, collect, pick up, harvest; get hold of, get possession of; accumulate, amass, build up; hold, keep together; assemble, bring together","false"
"color","color, colōris, m.","color, hue, tint (of an object); a particular color","false"
"commoueo","commoueō, commovēre, commōvī, commōtum","shake, agitate, move vigorously; stir up, stir, move, budge; upset, jolt, disturb; awake, wake up (someone else)","false"
"communis","commūnis, commūne","joint, common, shared, general; neutral, impartial","false"
"compages","compāgēs, compāgis, f","the action of joining together, binding, bond, tie; joint, suture; a composite structure, framework, assemblage","false"
"comparo","comparō (1)","place together, align; compare, match, set against; treat as equal, put in the same class with","false"
"comperio","comperiō, comperīre, comperī, compertum","find out by investigation, learn, discover, ascertain; prove, establish, verify","false"
"complector","complector, complectī, complexus sum","embrace, hug; welcome, take up, adopt; seize, grasp, grip, cling to; comprehend, take in, understand; include, involve, associate, bring in","false"
"compono","compōnō, compōnere, composuī, compositum","place things together, add together; pack up, store or collect together; settle in a place or position; arrange in order, dispose, organize, draw up; construct, build, put together","false"
"compositus","compositus, composita, compositum","composed of, made of; composite, blended, compound; well-arranged, well-ordered; orderly, well-disciplined, law-abiding; practiced, studied; calm, undisturbed, placid, sedate","false"
"comprehendo","comprehendō, comprehendere, comprehendī, comprehensum","take hold of, grip, catch hold of; take hold, take root; catch; fasten, unite, tie or join together, hold together; find, seize, discover, detect; enclose, surround, include","false"
"comprehensio","comprehēnsiō, comprehēnsiōnis, f.","the action of taking hold, grasping; arrest, apprehension; scope, range; apprehension, perception, mental grasp, understanding","false"
"concedo","concēdō, concēdere, concessī, concessum","go away, withdraw, retire; go over, transfer; give place, make way, yield, defer; give place to, concede, surrender, give up, hand over","false"
"concipio","concipiō, concipere, concēpī, conceptum","take in, absorb, catch; conceive, become pregnant; produce, form, bring into existence; contain, hold; grasp, conceive (in the mind), imagine, form an idea of; devise; undertake, assume","false"
"concludo","conclūdō, conclūdere, conclūsī, conclūsum","shut up, close in, imprison, enclose, confine; brind to an end, conclude, finish; infer, deduce, conclude","false"
"confido","confīdō, confīdere, confīsus sum","put one's trust in, have confidence in; trust confidently, be sure","false"
"confirmo","confirmō (1)","make firm, secure; assure, reassure, make confident, encourage; confirm, establish firmly, prove","false"
"conflo","conflō (1)","blow on, raise, start, ignite, set fire to; arouse, stir up; form, invent, concoct; make (by melting or heat), cast, weld; assemble, run up","false"
"confundo","confundō, confundere, confūdī, confūsum","pour together, mingle, mix, blend; mix up, stir up; jumble, upset, disorder, confuse; ruin, destroy; blur, obscure, disfigure; disconcert, trouble, dismay, upset (a person)","false"
"conicio","coniciō, conicere, coniēcī, coniectum","throw or put together, bring together; throw, cast, hurl; dispatch, make (a person) go; assign, insert; conjecture, guess","false"
"conniueo","connīueō, connīvēre, connivī/connīxī, ———","(also in forms \textit{cōnīveō}, etc.) close (the eyes) tightly, close (eyes) in sleep; turn a blind eye (to), overlook, ignore","false"
"consentaneus","cōnsentāneus, consentānea, consentāneum","fitting, agreeable, appropriate, consistent; constant in principles, consistent (of a person)","false"
"consideratio","cōnsīderātiō, cōnsīderātiōnis, f.","action of looking, gaze, inspection; contemplation, consideration; examination, contemplation, consideration","false"
"considero","cōnsīderō (1)","look at closely, attentively, or carefully, inspect, examine, investigate; notice, remark; bear in mind, take into consideration; take care, bear in mind (that)","false"
"consisto","cōnsistō, cōnsistere, cōnstitī, cōnstitum","stand still, stand, halt, stop, stay in place; take a stand, post oneself; congeal, set; pause, linger, dwell on; take a position, take a stand (for fighting)","false"
"conspicuus","cōnspicuus, conspicua, conspicuum","clearly seen, visible, in full view; remarkable, striking, attracting attention; notable, famous, illustrious","false"
"constanter","cōnstanter","without change; regularly, steadily; firmly, resolutely, in a determined manner; faithfully, loyally, steadfastly","false"
"consto","cōnstō, cōnstāre, cōnstitī, cōnstātum","stand together; stand still, remain constant, be steady; be composed, consist of; be dependent upon, be based upon; exist, continue, last; remain, continue, remain unchanged; be fixed or established; be manifest, be apparent, be known, be certain, be established (often impersonal in the third person singular); (of statements, views, etc.) be consistent, agree; (of sums) be correct, balance","false"
"consuesco","cōnsuēscō, cōnsuēscere, cōnsuēvī, cōnsuētum"," become accustomed or used (to something), form a habit; make accustomed or used; (perfect) be in the habit of, be used to","false"
"consuetudo","cōnsuētūdō, cōnsuētūdinis, f.","a custom, habit, usual practice, usage; normal state or condition; convention, custom (as a source of law); linguistic usage, normal manner of speaking","false"
"consumo","cōnsūmō, cōnsūmere, cōnsūmpsī, cōnsūmptum","destroy, wear away, consume; kill; reduce, make smaller, reduce to nothing; weaken severely, wear down, exhaust; use up, expend; eat, devour; expend, use up, employ; spend (money, resources, time, effort)","false"
"contemplo","contemplō (1)","look at, examine visually, gaze at; observe, notice, study; ponder, consider, contemplate","false"
"contendo","contendō, contendere, contendī, contentum","stretch, bend, draw tight; throw vigorously, hurl, shoot; strain, exert, make an effort, strive, exert oneself; go quickly, hasten, press forward","false"
"contineo","contineō, continēre, continuī, contentum","hold together, link, join; fasten, secure; keep together, sustain; maintain; retain, keep; surround, enclose, embrace; contain, include; imply, involve; comprise, consist in","false"
"contingo","contingō, contingere, contigī, contactum","come into contact with, touch; border on, be contiguous with, be in contact with, be connected with; arrive at, reach; hit, strike; extend to, reach to; attain, achieve; affect, move, touch, concern; (intransitive with dative) fall to one's lot, happen, be granted; (absolute) come about, happen","false"
"continuatus","continuātus, continuāta, continuātum","uninterrupted, unbroken; consecutive; (with dative) contiguous, adjacent to","false"
"contrarius","contrārius, contrāria, contrārium","opposite, on the opposite side; reverse, opposite to normal; opposed, in opposition; hostile, adverse, opposing; contrary, antithetical, opposite in kind or type; incompatible, opposite in intension","false"
"contrecto","contrectō (1)","touch, handle (an object), come in contact with, feel; deal with, handle (a subject), apply oneself to","false"
"contumax","contumax, contumācis","proud and unyielding, stubborn, defiant (usually in a negative sense); wilfully disobedient, contumacious","false"
"corporeus","corporeus, corporea, corporeum","physical, material, corporeal, consisting of a body or endowed with a body; related to the body, bodily","false"
"corpus","corpus, corporis, n.","the body of a living creature; body (as opposed to soul or mind); any physical object (as opposed to immaterial things)","false"
"crassus","crassus, crassa, crassum","solid, thick, dense; fat, plump, stout; coarse, rough; rude, homely (opposed to elegant or fine); insensitive, dull, stupid, crass (opposed to perceptive or intelligent)","false"
"credo","crēdō, crēdere, crēdidī, crēditum","commit to, entrust; confide; (with dative) trust, rely on, have faith in, believe, give credence to","false"
"credulitas","crēdulitās, crēdulitātis, f.","ready belief, credulity, trustfulness; rash confidence","false"
"creo","creō (1)","procreate; bring into being, create, produce; institute, establish (an idea or custom)","false"
"cresco","crēscō, crēscere, crēvī, crētum","come into being, spring up; develop; lengthen, increase, swell, expand; progress, advance; increase in numbers, amount, or the like; multiply","false"
"cucurbita","cucurbita, cucurbitae, f.","a gourd, a pumpkin; a cupping glass (from the shape); a dolt, `pumpkin-head'","false"
"culpa","culpa, culpae, f.","responsibility, blame, fault; wrongdoing, offence, midsconduct; failure, neglect, error, mistake","false"
"cum","cum","(preposition with ablative) with, together with, along with","false"
"cum","cum","(conjunction with indicative) at that time, when; from that time, since; (conjunction with subjunctive) under the circumstances when, when; because, since; although","false"
"cunctor","cunctor (1)","delay, hang back; hesitate; tarry, linger","false"
"cunctus","cunctus, cuncta, cunctum","the whole of, all; total, complete","false"
"cupio","cupiō, cupere, cuīvī/cupiī, cupītum","wish for, desire, want; wish well to, favor, be well disposed to (plus dative)","false"
"cura","cūra, cūrae, f.","anxiety, worry, care, distress; carefulness, pains, (serious) attention; solicitude, concern","false"
"curo","cūrō (1)","watch over, look after, care for; tend, rear; treat (a sick person, an illness, a wound), tend to, cure; undertake, have done, see to it (that)","false"
"de","dē","(preposition with ablative) down from; away from, off; from; concerning, about; of, out of","false"
"debeo","dēbeō (2)","be under an obligation, be indebted, owe; ought, should","false"
"deceptor","dēceptor, dēceptōris, m.","a betrayer; a deceiver","false"
"decipio","dēcipiō, dēcipere, dēcēpī, dēceptum","deceive, mislead, dupe; frustrate, foil, cheat; escape the notice of, elude","false"
"defigo","dēfīgō, dēfīgere, dēfīxī, dēfīxum","plant, embed, sink, bury; affix, attach; keep (one's eyes or thoughts) directed (on), fix, focus; fix (with a glance); petrify, dumbfound, render incapable of thought or movement","false"
"dego","dēgō, dēgere, dēgī, ———","spend, pass (time, one's life); remain alive, live on, continue","false"
"deinceps","deinceps","in succession, in turn; after that, after this, next, then","false"
"deinde","deinde","afterwards, then, next; from there; in the next (second, third, etc.) place","false"
"delabor","dēlābor, dēlābī, dēlāpsus","fall, drop; sink, slip down; descend, fly or glide down; flow down; fail, lose strength","false"
"delibero","dēlīberō (1)","engage in careful thought, weigh the pros and cons of; deliberate; take counsel (with someone), consult; consider carefully, think over, ponder","false"
"deludo","dēlūdō, dēlūdere, dēlūsī, dēlūsum","deceive, dupe, delude","false"
"demo","dēmō, dēmere, dēmpsī, dēmptum","remove, take away, take off, subtract","false"
"denique","dēnique","finally, at last, at length, in the end; lastly; in sum, in short, to sum up; in point of fact, indeed","false"
"denuo","dēnuō","anew, over again, from a fresh start; for a second time, once more, again; in turn, then again","false"
"dependeo","dēpendeō, dēpendēre, dēpendī, ———","hang down (from); proceed or derive from; depend (on)","false"
"depono","dēpōnō, dēpōnere, dēposuī, dēpositum","put down, lay down; give up, surrender, shed; let rest; deposit, lodge, give for safekeeping; abandon, resign, drop","false"
"deprehendo","dēprehendō, dēprehendere, dēprehendī, dēprehēnsum","intercept, seize, catch; meet suddenly or unexpectedly, come upon, surprise; discover, detect, recognize; take by surprise, overtake","false"
"describo","dēscrībō, dēscrībere, dēscrīpsī, dēscrīptum","draw, mark out, describe, trace out; write down, transcribe, copy down; prescribe, establish","false"
"desidia","dēsidia, dēsidiae, f.","idleness, slackness, inactivity; leisure, freedom (from work or responsibility)","false"
"designo","dēsignō (1)","mark out, trace out, draw in outline; mark; indicate, denote, designate; earmark, assign; appoint, elect; order, plan","false"
"desino","dēsinō, dēsinere, dēs(i)ī/dēsīvī, dēsitum","leave off, desist, finish, stop, cease; come to an end, end (with or in), end","false"
"desuesco","dēsuēscō","unlearn, forget about, become unaccustomed to, become unused to","false"
"detorqueo","dētorqueō","turn away, deflect; turn aside, divert, sway, change (often for the worse), pervert; bend out of shape, twist, distort","false"
"detraho","dētrahō, dētrahere, dētrāxī, dētrāctum","detach (by pulling), pull, draw, remove; drag away, draw off; force down, induce to come down; pull down, demolish; detach, dislodge; derive; detract (in speech), say in disparagement (of); exclude, omit, subtract, cut out","false"
"deus","deus, deī, m.","a god, a divinity","false"
"devincio","dēvinciō, dēvincīre, dēvinxī, dēvīnctum","bind fast, tie up (tightly); fix in position, hold fast; oblige, constrain, bind (morally, emotionally, etc.); subjugate, bring into subjection; unite, bind together","false"
"dico","dīcō, dīcere, dīxī, dictum","say, speak, utter; tell, mention, relate; affirm, declare, state, assert","false"
"differo","differō, differre, distulī, dīlātum","carry away in different directions, scatter, disperse; confound, bewilder, distract; spread around, publish, make known; postpone, defer, put off, keep waiting; differ, be different","false"
"difficilis","difficilis difficile","hard, difficult, troublesome; intractable, obdurate, inflexible, hard to manage","false"
"difficultas","difficultās, difficultātis, f.","difficulty, situation involving trouble, trouble","false"
"diffidentia","diffīdentia, diffīdentiae, f.","mistrust, distrust; diffidence, lack of confidence","false"
"diligens","dīligēns, dīligentis","fond (of), devoted (to); careful, attentive, diligent, scrupulous; thrifty, economical","false"
"dimoveo","dīmoveō, dīmovēre, dīmōvī, dīmōtum","cleave, part; cause to part, disperse; displace, remove; set aside, dismiss, divert","false"
"disciplina","disciplīna, disciplīnae, f.","instruction, teaching, training, education; a branch of study, discipline; a philosophical school or sect; discipline, orderly conduct based on moral training, order (maintained in a group of people)","false"
"dispar","dispār, disparis","unequal; different (in character or kind), dissimilar","false"
"disputo","disputō (1)","argue one's case or point of view; reason out, debate, argue","false"
"distinctus","distinctus, distincta, distinctum","different, distinct; definite, precise, not vague; clear, lucid","false"
"distinguo","distinguō, distinguere, distīnxī, disctīnctum","separate, divide, part; mark off, distinguish, separate (from); punctuate (a process), relieve, interrupt; distinguish (from another), make or perceive a difference between; define, specify; resolve, settle","false"
"diuturnitas","diūturnitās, diūturnitātis, f.","passage of a long period of time, lapse of time; long duration, permanence, durability, longevity","false"
"divello","dīvellō, dīvellere, dīvellī/dīvulsī, divulsum","tear open, tear apart, tear to pieces; pull away (from), tear away (from); break up, sunder, disrupt","false"
"diversus","dīversus, dīversa, dīversum","turned, pointed, or facing in different directions; set apart, separate; distant, remote; different, differing, distinct, divergent, inconsistent","false"
"do","dō, dare, dedī, datum","give, offer, grant; impose, assign, appoint; concede, allow","false"
"donec","dōnec","until, up to the time at which; as long as, while","false"
"dormio","dormiō (4)","sleep, be asleep, fall asleep","false"
"dubitatio","dubitātiō, dubitātiōnis, f.","uncertainty, doubt, perplexity; wavering, hesitation","false"
"dubito","dubitō (1)","be in doubt, be uncertain; doubt, waver, hesitate over","false"
"dubius","dubius, dubia, dubium","hesitatnt, undecided, wavering, faltering; uncertain, doubtful, dubious","false"
